,text,n_tokens
0,". Citi | Global Investment Bank and Financial Services OKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountCiti Global Wealth Releases Full-Year Outlook 2024: Slow Then Grow: Investing in the Markets’ Big ResetPress ReleaseWe are dedicated to responsibly providing financial services to enable growth and economic progress.Learn more about CitiOUR BUSINESSESWe offer products and services as one integrated institution while treating our clients as one global relationship.Learn MoreServicesMarketsBanking & InternationalWealthU.S. Personal BankingThe Latest from CitiPRESS RELEASECiti Fourth Quarter 2023 Earnings CallDecember 20, 2023PRESS RELEASEEthiopian Airlines and Citi Sign a USD $450 Million Loan Agreement for Five New Aircraft December 19, 2023PRESS RELEASECiti leads Strategic Investment round in Colombian fintech SupraDecember 11, 2023PRESS RELEASECiti Global Wealth Releases Full-Year Outlook 2024: Slow Then Grow: Investing in the Markets’ Big Reset December 07, 2023PRESS RELEASECiti Expands Its Payments Innovation Toolkit with Investment in Icon SolutionsDecember 06, 2023PRESS RELEASECiti Collaborates with Traydstream to Streamline Document Services for Faster and More Effective Client SolutionsDecember 04, 2023View All NewsOUR IMPACTOur business and philanthropy are helping build more sustainable, diverse and equitable communities around the world.SustainabilityStrengthening CommunityDiversity, Equity and InclusionCiti’s Latest ESG ReportEach year, we report on our ESG activities and performance.",321
1," https:  icg.citi.com rcs icgPublic storage public cbs37368 Mobilising Green Investment 2023  ARTICLE A4  v3.pdf.  Error    Page Not Found 404   Looking for something at Citi? (citi.com) 										We're sorry, but the page could not be found. 										The link may be outdated, or you may have entered the address (URL) 										incorrectly. 									  ",98
2," https:  www.citigroup.com global businesses services securities services.  Error    Page Not Found 404   Looking for something at Citi? (citi.com) 										We're sorry, but the page could not be found. 										The link may be outdated, or you may have entered the address (URL) 										incorrectly. 									  ",77
3," https:  www.citigroup.com global our impact strengthening community citi impact fund .  Error    Page Not Found 404   Looking for something at Citi? (citi.com) 										We're sorry, but the page could not be found. 										The link may be outdated, or you may have entered the address (URL) 										incorrectly. 									  ",81
4," https:  www.citigroup.com global our impact strengthening community social finance .  Error    Page Not Found 404   Looking for something at Citi? (citi.com) 										We're sorry, but the page could not be found. 										The link may be outdated, or you may have entered the address (URL) 										incorrectly. 									  ",79
5,"global. Citi | Global Investment Bank and Financial Services OKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountCiti Global Wealth Releases Full-Year Outlook 2024: Slow Then Grow: Investing in the Markets’ Big ResetPress ReleaseWe are dedicated to responsibly providing financial services to enable growth and economic progress.Learn more about CitiOUR BUSINESSESWe offer products and services as one integrated institution while treating our clients as one global relationship.Learn MoreServicesMarketsBanking & InternationalWealthU.S. Personal BankingThe Latest from CitiPRESS RELEASECiti Fourth Quarter 2023 Earnings CallDecember 20, 2023PRESS RELEASEEthiopian Airlines and Citi Sign a USD $450 Million Loan Agreement for Five New Aircraft December 19, 2023PRESS RELEASECiti leads Strategic Investment round in Colombian fintech SupraDecember 11, 2023PRESS RELEASECiti Global Wealth Releases Full-Year Outlook 2024: Slow Then Grow: Investing in the Markets’ Big Reset December 07, 2023PRESS RELEASECiti Expands Its Payments Innovation Toolkit with Investment in Icon SolutionsDecember 06, 2023PRESS RELEASECiti Collaborates with Traydstream to Streamline Document Services for Faster and More Effective Client SolutionsDecember 04, 2023View All NewsOUR IMPACTOur business and philanthropy are helping build more sustainable, diverse and equitable communities around the world.SustainabilityStrengthening CommunityDiversity, Equity and InclusionCiti’s Latest ESG ReportEach year, we report on our ESG activities and performance.",322
6,"global about us. Citi | About UsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountAbout USA bank built for a world of complexity We live in an increasingly complex world. Companies these days are either born global or are going global at record speed. Business and geopolitics are forging an entirely new dynamic and consumers now expect financial services to be a seamless part of their digital lives. Citi is a bank that’s uniquely positioned for this moment. Through our vast global network and our on-the-ground expertise, we can connect the dots, anticipate change and empathize the needs of our clients and customers in ways that other banks simply cannot. Our Global Impact$4+ trillionfinancial flowsOur global network allows us to move the equivalent of Germany’s GDP each day across borders, currencies and asset classes.13,000+institutional clientsOur clients include 90% of global Fortune 500 companies who are served through our institutional banking franchise.$1+ trillioncommitted to ESGWe believe in playing a leading role in solving increasingly interconnected societal challenges. We set goals and we hold ourselves accountable to reaching them. 100+ millioncustomersThrough our retail bank, credit cards and wealth management business, we provide personalized financial guidance supported by leading digital capabilities.Our MissionCiti's mission is to serve as a trusted partner to our clients by responsibly providing financial services that enable growth and economic progress. We have set expectations for how we must act to bring our mission to life. These expectations are at the heart of our Leadership Principles – we take ownership, we deliver with pride and we succeed together.Learn moreIn this sectionStrategyWe are transforming Citi into a modern, simpler, more efficient bank.Learn MoreLeadershipOur diverse leadership team is committed to stewarding a firm known for excellence.",360
7,"global about us global presence. Citi | Countries and JurisdictionsOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/About Us/Global PresenceGLOBAL PRESENCEGlobal network.  Local connectivity.Our global network gives us the ability to connect and do business in nearly 160 countries using local banking licenses and our on-the ground expertise, including in-depth understanding of local politics, business and economic conditions. It means we can move trillions of dollars in flows daily - across borders, currencies and asset classes. Our Global Footprint95countrieswith on-the-ground presence144countriesin which Citi can issue currencies230,000+employeesworking worldwide77countrieswith trading floorsA - EF - KL - ST - ZSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S. Personal BankingOur ImpactSustainabilityStrengthening CommunityDiversity, Equity and InclusionInvestorsQuarterly EarningsEvents and PresentationsAnnual Reports and Proxy StatementsSEC FilingsOther Regulatory FilingsFixed Income Investor RelationsStockholder ServicesCorporate GovernanceESG for InvestorsInvestor ContactsNewsPress ReleasesPerspectivesInsightsMedia ResourcesCareersAlumniContact UsRegulatory DisclosuresCareersAlumniContact UsRegulatory DisclosuresTermsPrivacyNotice at CollectionCA Privacy HubAccessibilitySuppliersEthics HotlineContact Us",292
8,"global about us heritage. Global Investment Bank and Financial Services | CitiOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/About Us/HeritageHeritageA Heritage of Enabling Growth and Economic Progress With more than 210 years of experience making a positive financial and social impact, we are proud of our past contributions and excited about our future. We invite you to explore Citi’s key historical milestones from 1812 through today.Jump toRefineAllResetSign up to receive the latest news from Citi.Email Address**Required FieldSelect PreferencesSendAbout UsStrategyGlobal PresenceLeadershipHeritageBusinessesServicesMarketsBanking and InternationalWealthU.S. Personal BankingOur ImpactSustainabilityStrengthening CommunityDiversity, Equity and InclusionInvestorsQuarterly EarningsEvents and PresentationsAnnual Reports and Proxy StatementsSEC FilingsOther Regulatory FilingsFixed Income Investor RelationsStockholder ServicesCorporate GovernanceESG for InvestorsInvestor ContactsNewsPress ReleasesPerspectivesInsightsMedia ResourcesCareersAlumniContact UsRegulatory DisclosuresCareersAlumniContact UsRegulatory DisclosuresTermsPrivacyNotice at CollectionCA Privacy HubAccessibilitySuppliersEthics HotlineContact Us",242
9,"global about us leadership. Citi's Executive Management Team and Leadership Team | CitiOKAbout UsBusinessesOur ImpactNewsInvestorsCareersMy AccountHome/About Us/LeadershipLeadershipOur team of experienced leaders is focused on serving our clients, transforming our business, generating long-term shareholder value and driving a culture of excellence and accountability.  Executive Management TeamBoard of DirectorsBoard CommitteesExecutive Management TeamPeter BabejHead of BankingTiti ColeHead of Legacy FranchisesNadir DarrahChief AuditorJane FraserChief Executive Officer, CitiSunil GargCEO of Citibank, N.A. and Head of North AmericaShahmir KhaliqHead of ServicesDavid LivingstoneChief Client OfficerGonzalo LuchettiHead of U.S. Personal BankingMark MasonChief Financial OfficerBrent McIntoshChief Legal Officer & Corporate SecretaryAndrew MortonHead of MarketsMargo PilicChief of Staff | Office of the CEOAnand SelvakesariChief Operating OfficerAndy SiegHead of WealthEdward SkylerHead of Enterprise Services & Public AffairsErnesto Torres Cantú Head of InternationalZdenek TurekChief Risk OfficerSara WechterChief Human Resources OfficerMike WhitakerHead of Operations & TechnologyPaco YbarraSenior AdvisorBoard of DirectorsEllen M. CostelloFormer President and CEO, BMO Financial Corporation | Former U.S. Country Head, BMO Financial GroupGrace E. DaileyFormer Senior Deputy Comptroller for Bank Supervision Policy and Chief National Bank Examiner, Office of the Comptroller of the Currency (OCC)Barbara DesoerFormer Chief Executive Officer, Citibank, N.A.John C. DuganChair, Citigroup Inc.Jane FraserChief Executive Officer, CitiDuncan P. HennesCo-Founder and Partner of Atrevida Partners, LLCPeter Blair HenryStanford University: Class of 1984 Senior Fellow, Hoover Institution; Senior Fellow, Freeman Spogli Institute for International StudiesS. Leslie IrelandFormer Assistant Secretary for Intelligence and Analysis, U.S. Department of the Treasury, and National Intelligence Manager for Threat Finance, Office of the Director of National IntelligenceRenée J. JamesFounder, Chair and CEO, Ampere ComputingGary M. ReinerOperating Partner, General Atlantic LLCDiana L. TaylorFormer Superintendent of Banks, State of New YorkJames S. TurleyFormer Chairman and CEO, Ernst & YoungCasper W.",497
